match,seed,winner,timed_out,turns,wars_declared,contracts_signed,friendships_broken,units_produced,units_died,seceded_regions,avg_leader_map_share,field_hash,diplomacy_hash,max_money_0,max_money_1,max_money_2,max_money_3,max_money_4
25,1000028,2,0,84,13,73,15,204,123,0,0.3412,6943178043828131431,-8450502411453017606,96,138,57,803,199
26,1000029,1,0,57,9,43,4,116,55,0,0.2877,1543763140209669935,7512220619119000080,77,461,1351,39,138
27,1000030,4,0,186,18,75,8,482,359,0,0.4369,7613775271539047214,-4094467779744804386,266,933,51,1667,196
28,1000031,0,0,45,9,33,5,116,68,0,0.3616,-1462815709690838384,-4556620615184770359,499,153,51,40,266
29,1000032,2,0,83,15,45,2,252,149,0,0.4661,6837229398243750488,2613579108206467130,210,44,763,44,48
30,1000033,3,0,72,7,42,6,204,130,0,0.3604,4076776483605346228,-2315859698700401680,102,60,97,156,198
31,1000034,4,0,35,9,33,8,70,29,0,0.2997,6985544314911987710,-4902021019125926529,54,38,35,173,110
32,1000035,1,0,110,11,58,5,451,318,0,0.3048,6304967296110209833,-2657098371187322459,1428,1760,103,700,1797
33,1000036,3,0,31,9,25,5,85,40,0,0.2435,7475519187405008625,1838085194112818548,110,33,50,53,47
34,1000037,4,0,65,12,41,9,180,115,0,0.4065,3587749410632284777,-246234409844815501,1343,414,66,319,64
35,1000038,4,0,111,12,44,5,367,238,0,0.4975,-3912361699891454835,8355696651890336540,1685,295,375,42,774
36,1000039,1,0,79,13,62,11,191,119,0,0.3675,-3057990423162257423,-1720519089341449416,399,797,68,58,60
37,1000040,1,0,77,9,53,9,171,107,0,0.3768,-706737637746553942,9133324526890933397,306,75,894,69,416
38,1000041,3,0,38,7,26,6,91,52,0,0.2981,5786146916718847767,-1222012612778246743,217,66,49,37,38
39,1000042,0,0,102,12,38,5,318,208,0,0.4597,7290359916212014825,-8321197170537382784,120,79,338,55,63
40,1000043,3,0,92,11,48,9,346,235,0,0.4003,-8861515059275289469,-3761987664726027491,519,50,995,1785,49
41,1000044,1,0,89,13,56,11,226,132,0,0.3960,8334241541923520005,6709184894838544767,2143,2227,104,62,1104
42,1000045,2,0,146,18,71,20,538,362,0,0.4814,6463763131411228387,5254852220577168828,2201,56,361,72,69
43,1000046,1,0,54,9,41,9,158,79,0,0.3762,-6350974812862413683,2984748856938792232,234,71,49,61,38
44,1000047,2,0,73,8,37,9,202,119,0,0.3527,1244087198414042375,-4989143158837426623,101,167,225,47,54
45,1000048,3,0,122,10,61,9,446,296,0,0.4328,4291112051485987312,1086530299226539256,152,393,209,1183,352
46,1000049,4,0,91,10,39,6,196,117,0,0.5016,3814955236256041312,3084373297238292958,89,279,58,223,37
